6012	17493	21
4909	27028	37
25974	15215	32
9782	1597	47
27981	20743	42
15855	11563	8
4945	5723	11
13229	10284	48
2144	16662	12
20240	2748	22
12981	12133	45
3314	15140	13
1636	17171	9
17900	9484	42
25581	16771	3
24228	24342	49
9697	21665	38
14176	29592	8
8932	8860	5
2314	22454	26
21742	29138	15
2752	24129	43
2531	29726	3
6642	3762	14
25441	7599	7
22470	7142	25
21587	12126	35
12648	17083	44
28552	13982	49
17751	19340	43
16703	29915	26
28189	4149	14
5718	25603	21
16170	29959	16
15402	22932	28
11477	10700	5
9806	24888	26
8378	17003	28
20057	10025	50
4448	29762	27
1377	8170	34
24126	1591	46
15000	27165	29
3919	1797	14
8606	15922	17
24557	17901	10
6279	8613	7
26060	18531	25
28902	28505	2
21510	24383	20
26130	23176	12
11477	17830	34
696	4028	48
19756	2673	20
9354	27708	2
17037	25557	24
18141	5558	30
2568	24475	14
2106	4258	23
25281	16550	19
26096	5409	26
1879	11319	1
2748	4442	31
7230	27397	8
16440	14308	1
9064	13024	14
19797	28155	30
15657	5522	13
20538	22905	50
1398	4032	30
26368	2593	3
1223	12193	44
12110	12050	4
8932	8860	21
27176	29273	50
17194	22709	40
3681	2995	30
27116	2796	15
12720	11133	5
24388	21372	7
5746	1112	42
25674	11607	30
9535	21362	17
24256	11801	47
22660	2745	5
3524	17057	27
10084	17252	36
21979	25207	26
19630	1671	16
16891	10142	40
22635	2910	7
1482	8052	42
22263	1938	7
27667	13698	11
19401	29297	38
18606	10432	49
5871	19039	48
15596	418	30
23892	18138	21
21594	3329	8
2402	11269	18
19611	7881	17
3982	7046	16
9747	27672	4
14856	6402	49
3301	27339	25
25550	6313	47
25754	14923	20
11747	17418	27
17686	19764	44
3662	25355	34
13042	28048	19
2149	23213	27
2030	14533	33
1843	9025	29
12617	7019	1
5724	3424	17
17313	8188	41
27380	27459	36
27312	7203	5
6673	26181	19
7431	16558	31
11773	17205	12
14985	1670	25
29021	16065	49
832	277	10
2992	13627	20
12368	23343	42
29725	24820	43
28074	10871	14
3647	11611	9
7188	21815	12
3301	27339	40
24163	6472	12
23957	21930	47
24099	29634	22
12720	24679	5
18401	19646	1
20467	23773	25
27354	9537	21
5715	28570	46
10407	149	26
12118	17269	21
22776	10323	22
25039	17715	30
13887	10015	42
14459	6815	3
16160	13544	26
11927	25565	35
23519	4512	48
13329	17899	28
12146	13833	20
8221	12311	23
19686	16757	10
28103	5796	11
16887	27739	48
18827	3148	9
17166	19253	35
18817	18971	3
10354	5620	50
22917	9173	19
13697	9525	46
10013	22928	45
16118	29322	4
5834	20235	44
11406	6072	2
5454	5946	35
5543	25677	45
26230	1379	30
16416	8013	19
13658	24010	10
17718	5252	11
13873	23934	48
25498	1755	45
22756	11447	19
22513	25807	49
8436	27583	9
5670	26815	10
5799	699	46
27342	14999	35
9055	3644	49
3614	12945	2
26446	27421	28
25191	8955	8
29496	20102	30
27522	15469	43
17178	23127	2
22972	22908	23
22177	14415	34
3443	26880	7
8492	24908	12
18359	795	19
13377	14636	10
5735	12465	3
17663	10532	13
28765	19854	44
16368	14209	28
19061	4540	32
13757	8213	5
1750	23065	19
13599	3894	49
21834	19428	11
9487	21178	44
16336	14407	43
16243	6207	13
3671	9305	13
13376	14076	45
8960	3593	11
21475	4448	38
7390	12231	3
15103	2393	20
7911	5738	29
18260	13685	42
4119	19814	34
17784	6664	32
13319	23854	37
29639	26309	12
9977	17675	27
29305	14277	37
19350	16292	10
10408	640	19
8404	10318	17
26853	13367	30
8525	3442	23
24194	18688	44
17768	1562	43
16901	26418	9
4717	14481	12
18521	14366	1
28120	23277	48
20726	19994	41
21994	1362	14
29979	13340	20
23430	8230	25
10432	29693	23
21524	19313	38
20482	21009	33
3206	9583	28
13929	11902	4
29610	21160	5
13327	18399	42
18327	13557	28
15317	3839	42
6688	9487	6
7716	5823	9
24136	16803	26
26039	14785	43
19631	28450	43
13182	9315	33
21851	21787	31
25088	2602	8
11377	2461	50
13594	7149	25
5444	20360	3
14080	5153	11
2719	12841	3
13327	18399	14
19880	2128	12
11407	24653	26
16955	20636	5
9584	11036	6
8417	18480	35
13994	17184	11
18595	24642	26
2473	11297	21
17036	16466	18
3982	13447	10
10008	25445	2
10871	11544	38
24041	13191	20
9573	26658	24
21062	14993	41
384	8909	43
3674	13296	26
28623	14683	11
22564	16886	6
16260	19540	16
16869	340	35
15219	2127	3
8448	26107	39
21728	8809	34
19865	26420	50
21551	28907	25
3763	22026	13
28177	17029	10
27004	21334	34
26711	24610	15
306	16725	12
7906	28158	13
4527	12953	48
9335	21655	49
27804	29518	18
5351	7915	27
2367	26532	30
6806	7490	18
