"provincia","ciudad","Periódico/Interés general","Periódico/Deportes","Periódico/*","Periódico/Automóviles","Periódico/Agro","Periódico/Agropecuario","Revista/Interés general","Revista/Mujer","Revista/Deportes","Revista/Construcción","Revista/*","Revista/Decoración","Revista/Turismo","Revista/Cultura","Revista/Arte","Revista/Diexismo","Revista/Comunicación","Revista/Salud Ambiental","Revista/Empleos","Periodico/Interés general","Periodico/Agro","Suplementos/Interés general"
"Buenos Aires","General Belgrano","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General Madariaga","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General Rodríguez","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General Viamonte","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General Villegas","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","González Chávez","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Hurlingham","4.0","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Ituzaingó","2.0","","","","","","","","","","1.0","","","","","","","","","","",""
"Buenos Aires","Junín","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Isidro","3.0","","1.0","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Lincoln","3.0","1.0","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Lomas de Zamora","1.0","","","","","","","","","","1.0","","","","","1.0","","","","","",""
"Buenos Aires","Maipú","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Mar del Tuyú","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Martínez","","","","","","","1.0","","1.0","","2.0","","","","","","","","","","",""
"Buenos Aires","Merlo","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Miramar","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Monte Hermoso","","","","","","","","","","","","","","","","","","","","1.0","",""
"Buenos Aires","Moreno","5.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Morón","6.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Olavarría","2.0","","","","","","","","","","","","","","","","1.0","","","","",""
"Buenos Aires","Pehuajó","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Pergamino","3.0","","","","","1.0","","","","","","","","","","","","","","","",""
"Buenos Aires","Pigué","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Pinamar","2.0","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tandil","6.0","","","","1.0","","","","","","","","","","","","","","","","",""
"Buenos Aires","Punta Alta","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Punta Indio","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ramos Mejía","4.0","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","San Andrés de Giles","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Bernardo","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Miguel del Monte","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Nicolás","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Pedro","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Sarandí","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Suipacha","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tapalqué","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tres Arroyos","4.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Vedia","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Villa Gesell","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Wilde","","","","","","","","","","","1.0","","","","","","","","","","",""
"Buenos Aires","El Pato","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Gral. Pacheco","","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Vicente López","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Libertad","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Lanús","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","El Palomar","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Haedo","","","","1.0","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Bernal","","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Carlos Casares","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","9 de Julio","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Cacharí","","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","Olivos","","","","","","","","1.0","","","","","","","","","","","1.0","","",""
"Buenos Aires","Los Toldos","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","S. de los Padres","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Beccar","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Benito Juárez","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Berisso","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Gral. Villegas","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Las Flores","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ensenada","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","S. Clara del Mar","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Lomas del Mirador","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ranchos","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Rauch","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Capilla del Señor","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Gral. Madariaga","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ayacucho","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Vicente","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Salliqueló","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Trenque Lauquen ","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","San Matín","","","","","","","1.0","","","","","","","","","","","","","","",""
"Buenos Aires","La Matanza","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ezeiza","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Junin","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Ascensión","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tortuguitas","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Remedios de Escalada","3.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Tres Lomas","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Villa Ballester","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Cnel. Pringles","2.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General San Martín","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Florida","1.0","","","","","","","","","","1.0","","","","","","","","","","",""
"Buenos Aires","José Ingenieros","","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Villa Maza","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","General Alvarado","","","1.0","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Cnel. Brandsen","1.0","","","","","","","","","","","","","","","","","","","","",""
"Buenos Aires","Martín Coronado","","","","","","","","","","","1.0","","","","","","","","","","",""
