17493	6012	21	207.509827822219
27028	4909	37	327.311776395567
15215	25974	32	237.874005845689
1597	9782	47	932.363387258893
20743	27981	42	676.040988618527
11563	15855	8	393.133237172446
5723	4945	11	1153.24335006682
10284	13229	48	1369.40494355252
16662	2144	12	1542.5900334225
2748	20240	22	131.649372564465
12133	12981	45	215.881771285032
15140	3314	13	1413.81405259195
17171	1636	9	472.831188325226
9484	17900	42	1239.20694394
16771	25581	3	1236.18858529077
24342	24228	49	974.654080762832
21665	9697	38	602.169627231625
29592	14176	8	1129.25657649024
8860	8932	5	1444.7571508236
22454	2314	26	537.040818918981
29138	21742	15	527.243519372886
24129	2752	43	356.129944453076
29726	2531	3	395.313727928006
3762	6642	14	515.689412036766
7599	25441	7	1463.20434608646
7142	22470	25	764.279001822825
12126	21587	35	373.230616139821
17083	12648	44	1375.10252238023
13982	28552	49	712.459601719146
19340	17751	43	492.779230630388
29915	16703	26	1473.06528722544
4149	28189	14	1446.32370200303
25603	5718	21	973.002336739098
29959	16170	16	1424.57485120025
22932	15402	28	458.228669640715
10700	11477	5	1458.08606048025
24888	9806	26	1098.53705762817
17003	8378	28	1306.24659755558
10025	20057	50	713.732903559568
29762	4448	27	1314.91331992434
8170	1377	34	505.306969967348
1591	24126	46	225.117762230857
27165	15000	29	1439.82428893439
1797	3919	14	485.329878630736
15922	8606	17	1186.12921773741
17901	24557	10	1085.77033991263
8613	6279	7	215.785632233967
18531	26060	25	472.182794209655
28505	28902	2	393.673794341122
24383	21510	20	532.384174453274
23176	26130	12	1019.45399804947
17830	11477	34	1367.17223305589
4028	696	48	1304.32094496876
2673	19756	20	1013.55703475585
27708	9354	2	1483.87683687912
25557	17037	24	890.682414812354
5558	18141	30	692.850610824698
24475	2568	14	1068.27875593131
4258	2106	23	98.1396539221237
16550	25281	19	968.652916517413
5409	26096	26	1457.74499394826
11319	1879	1	853.28325587012
4442	2748	31	1575.56355709935
27397	7230	8	780.971977739116
14308	16440	1	1553.11126688175
13024	9064	14	865.788735442697
28155	19797	30	413.318915857616
5522	15657	13	101.869525211802
22905	20538	50	1383.31339345468
4032	1398	30	1488.44500994703
2593	26368	3	310.316414083502
12193	1223	44	1231.33246151327
12050	12110	4	1082.74027204269
8860	8932	21	853.859953570114
29273	27176	50	788.690677913227
22709	17194	40	313.161835406517
2995	3681	30	613.829665395352
2796	27116	15	303.942362509641
11133	12720	5	1079.77822849517
21372	24388	7	177.017837174711
1112	5746	42	588.387037826882
11607	25674	30	763.787162175303
21362	9535	17	1360.87267514359
11801	24256	47	1358.29246204267
2745	22660	5	1574.54327790744
17057	3524	27	522.397763525321
17252	10084	36	896.745070338596
25207	21979	26	770.495398999422
1671	19630	16	415.077532797622
10142	16891	40	1099.19961209372
2910	22635	7	684.282056784389
8052	1482	42	490.496275169075
1938	22263	7	192.027973063303
13698	27667	11	399.258561059487
29297	19401	38	895.661850280902
10432	18606	49	806.422328877459
19039	5871	48	679.715561922507
418	15596	30	191.018163725277
18138	23892	21	1159.7544751874
3329	21594	8	301.907083644488
11269	2402	18	422.363668467088
7881	19611	17	1214.88095544972
7046	3982	16	1164.40353056621
27672	9747	4	878.569253943194
6402	14856	49	483.251554594958
27339	3301	25	817.578602292379
6313	25550	47	1167.55249059179
14923	25754	20	1259.46420437631
17418	11747	27	340.174675630487
19764	17686	44	1586.06871842689
25355	3662	34	1110.86693003348
28048	13042	19	1445.98066494147
23213	2149	27	335.12403496314
14533	2030	33	961.816780717027
9025	1843	29	925.1925381856
7019	12617	1	420.605120184182
3424	5724	17	258.063212939568
8188	17313	41	719.557544030043
27459	27380	36	516.990060637235
7203	27312	5	1278.69003768949
